Gatillo,Pregunta,Respuesta1,Respuesta2,Respuesta3,Respuesta4,Respuesta5
"Introducción a Python","¿Qué es Python y cuáles son sus principales características?","Python es un lenguaje de programación de alto nivel, interpretado y multiparadigma.","Es multiplataforma y cuenta con una sintaxis sencilla que favorece la legibilidad.","Posee un amplio ecosistema de librerías y una comunidad activa.","Se utiliza en desarrollo web, análisis de datos, inteligencia artificial, entre otros.","El Zen de Python es un conjunto de principios que guían su diseño."
"Instalación de Python","¿Cómo se instala Python en diferentes sistemas operativos?","Se puede descargar desde la página oficial https://www.python.org.","En Windows, se ejecuta el instalador y se configura el PATH.","En macOS y Linux se puede instalar usando gestores de paquetes como Homebrew o apt.","En muchas distribuciones Linux, Python ya viene preinstalado.","Se recomienda usar entornos virtuales para gestionar dependencias."
"Uso de print()","¿Cómo se muestra información en la consola en Python?","Se utiliza la función print() para imprimir información en la consola.","Ejemplo: print('Hola mundo') muestra 'Hola mundo' en pantalla.","Se pueden imprimir múltiples líneas usando varias llamadas a print() o caracteres especiales como \n","",""
"Uso de input()","¿Cómo se solicita información al usuario en Python?","La función input() lee datos ingresados por el usuario como una cadena de texto.","Ejemplo: nombre = input('Introduce tu nombre: ') almacena el nombre ingresado.","Si se requieren otros tipos de datos, se debe convertir la cadena al tipo deseado.","",""
"Gestión de errores","¿Qué tipos de errores pueden ocurrir en Python y cómo se manejan?","Errores sintácticos ocurren al violar la gramática del lenguaje.","Errores lógicos se producen cuando el programa no se comporta como se espera.","Los errores se pueden manejar usando bloques try-except para capturar excepciones.","El manejo adecuado de errores mejora la robustez del programa.",""
"Comentarios en Python","¿Cómo se agregan comentarios en Python y cuál es su propósito?","Se utilizan el símbolo # para comentarios de una sola línea.","Para comentarios multilínea se pueden usar tres comillas (''' o \"\"\").","Los comentarios ayudan a documentar el código y facilitar su mantenimiento.","",""
"Listas","¿Qué son las listas en Python y cómo se utilizan?","Las listas son estructuras de datos mutables que almacenan secuencias de elementos.","Se definen utilizando corchetes, por ejemplo: lista = [1, 2, 3].","Permiten almacenar elementos de distintos tipos y modificarlos dinámicamente.","Se pueden iterar, añadir, eliminar y actualizar elementos.",""
"Tuplas","¿Qué son las tuplas en Python?","Las tuplas son estructuras de datos inmutables.","Se definen utilizando paréntesis, por ejemplo: tupla = (1, 2, 3).","Son útiles para almacenar datos que no deben cambiar.","",""
"Diccionarios","¿Cómo se utilizan los diccionarios en Python?","Los diccionarios almacenan pares clave-valor y se definen con llaves.","Ejemplo: dic = {'clave': 'valor'}.","Permiten acceder y modificar los valores a través de sus claves.","",""
"Condicionales","¿Cómo se implementan estructuras condicionales en Python?","Se utiliza la instrucción if para evaluar condiciones.","La estructura puede incluir elif y else para manejar múltiples casos.","La indentación es crucial para definir los bloques de código.","",""
"Bucles","¿Qué tipos de bucles existen en Python y cómo se usan?","Python tiene bucles for y while.","El bucle for se usa para iterar sobre secuencias.","El bucle while se ejecuta mientras una condición sea verdadera.","",""
"Funciones","¿Cómo se definen y utilizan funciones en Python?","Las funciones se definen con la palabra clave def.","Permiten encapsular código para reutilizarlo.","Pueden aceptar parámetros y devolver valores.","Ejemplo: def saludar(nombre): print('Hola', nombre).",""
"Programación orientada a objetos","¿Qué es la programación orientada a objetos en Python?","Es un paradigma que organiza el código en clases y objetos.","Permite encapsular datos y comportamientos en una misma entidad.","Se utilizan conceptos como herencia, polimorfismo y encapsulación.","Las clases se definen con la palabra clave class.",""
"Persistencia de datos","¿Cómo se maneja la persistencia de datos en Python?","Se pueden leer y escribir archivos utilizando funciones como open, read y write.","También se puede trabajar con bases de datos usando SQL o librerías como SQLite.","La persistencia permite guardar información entre ejecuciones del programa.","",""
"Librerías en Python","¿Qué son las librerías en Python y cómo se instalan?","Las librerías son colecciones de módulos que amplían la funcionalidad del lenguaje.","Se instalan usando pip, el gestor de paquetes de Python.","Ejemplos populares incluyen numpy, pandas, matplotlib y requests.","",""
"Interfaces gráficas","¿Cómo se crean interfaces gráficas en Python?","Se pueden crear interfaces gráficas usando librerías como Tkinter.","Tkinter es la librería estándar de Python para desarrollar GUIs.","Permite crear ventanas, botones, etiquetas y otros widgets interactivos.","",""
"Expresiones regulares","¿Cómo se utilizan las expresiones regulares en Python?","El módulo re permite trabajar con expresiones regulares.","Se pueden usar funciones como re.match(), re.search() y re.findall() para buscar patrones en texto.","Son útiles para validar y extraer datos de cadenas de texto.","",""
"JSON","¿Cómo se trabaja con JSON en Python?","El módulo json permite convertir entre objetos Python y cadenas JSON.","Se usan json.loads() para leer JSON y json.dumps() para escribirlo.","JSON es un formato común para el intercambio de datos en aplicaciones web.","",""
"Manipulación de imágenes con PIL","¿Qué es PIL y cómo se utiliza en Python?","PIL, o Pillow, es una librería para manipulación de imágenes.","Permite abrir, modificar y guardar imágenes en varios formatos.","Se pueden aplicar filtros, acceder a píxeles y realizar transformaciones.","",""
"Numpy","¿Qué es Numpy y para qué se utiliza en Python?","Numpy es una librería para cálculos numéricos y manejo eficiente de arrays.","Permite realizar operaciones matemáticas en arrays multidimensionales de forma rápida.","Es fundamental en ciencia de datos y computación científica.","",""
